altitude temp    pres    rho
5.43788 288.15 101325 1.22498
16.3635 288.115 101260 1.22434
32.8272 288.044 101129 1.22305
54.8801 287.937 100931 1.22112
82.574 287.793 100667 1.21854
115.961 287.613 100337 1.2153
155.095 287.396 99939.7 1.2114
200.028 287.142 99475.7 1.20684
250.817 286.85 98945 1.20163
307.514 286.52 98348 1.19575
370.171 286.151 97685 1.18922
438.82 285.744 96956.5 1.18203
513.499 285.298 96163.3 1.1742
594.255 284.812 95306.5 1.16572
681.145 284.287 94386.9 1.1566
774.234 283.723 93405.6 1.14686
873.592 283.117 92363.3 1.13648
979.287 282.472 91261.3 1.12549
1091.38 281.785 90100.8 1.11389
1209.91 281.056 88883.1 1.10168
1334.92 280.286 87609.9 1.08889
1466.45 279.473 86283.2 1.07552
1604.52 278.618 84905 1.06158
1749.14 277.721 83477.4 1.04711
1900.36 276.781 82003 1.03211
2058.23 275.798 80483.9 1.0166
2222.79 274.772 78922.5 1.0006
2394.09 273.702 77321 0.984125
2572.17 272.588 75682.1 0.967199
2757.07 271.431 74008.2 0.949841
2943.89 270.229 72302.1 0.932071
3132.62 269.015 70610.7 0.914376
3323.26 267.788 68934.7 0.896762
3515.79 266.549 67274.6 0.879234
3710.23 265.297 65631 0.8618
3906.56 264.033 64004.3 0.844463
4104.77 262.757 62395.1 0.827229
4304.89 261.469 60803.8 0.810104
4506.89 260.168 59230.7 0.793091
4710.8 258.855 57676.4 0.776196
4916.57 257.53 56141.1 0.759423
5124.22 256.192 54625.5 0.742779
5333.74 254.843 53129.8 0.726267
5545.12 253.481 51654.4 0.709893
5758.36 252.107 50199.7 0.693661
5973.47 250.721 48766 0.677575
6190.44 249.322 47353.5 0.661639
6409.24 247.912 45962.6 0.645858
6629.88 246.49 44593.5 0.630236
6852.36 245.056 43246.7 0.614777
7076.68 243.61 41922.1 0.599486
7302.86 242.152 40620 0.584363
7530.89 240.681 39340.5 0.569414
7760.77 239.199 38083.8 0.554639
7992.51 237.705 36849.9 0.540043
8226.09 236.199 35639 0.525628
8461.52 234.68 34451.4 0.511399
8698.79 233.15 33286.9 0.497357
8937.9 231.608 32145.8 0.483506
9178.84 230.054 31028.1 0.469848
9421.6 228.488 29933.9 0.456385
9666.16 226.91 28863.3 0.443122
9912.5 225.32 27816.3 0.430061
10160.6 223.719 26792.9 0.417204
10410.5 222.106 25793.2 0.404553
10662.2 220.482 24817.1 0.392111
10915.6 218.846 23864.5 0.379878
11170.8 217.198 22935.4 0.367857
11427.8 216.65 22031.1 0.354249
11686.5 216.65 21156.4 0.340183
11946.9 216.65 20310.7 0.326586
12209.1 216.65 19493.5 0.313445
12473 216.65 18704 0.300751
12738.6 216.65 17941.6 0.288492
13006 216.65 17205.6 0.276657
13275.1 216.65 16495.3 0.265236
13545.9 216.65 15810 0.254217
13818.3 216.65 15149.2 0.243591
14092.5 216.65 14512.1 0.233346
14368.4 216.65 13898 0.223473
14645.9 216.65 13306.4 0.21396
14925.1 216.65 12736.7 0.204799
15206 216.65 12188.1 0.195978
15488.5 216.65 11660.1 0.187488
15772.7 216.65 11152 0.179319
16058.5 216.65 10663.3 0.171461
16345.9 216.65 10193.4 0.163905
16635 216.65 9741.73 0.156642
16925.6 216.65 9307.67 0.149662
17217.9 216.65 8890.69 0.142958
17511.9 216.65 8490.21 0.136518
17807.4 216.65 8105.7 0.130335
18104.6 216.65 7736.62 0.124401
18403.3 216.65 7382.45 0.118706
18703.7 216.65 7042.7 0.113243
19005.7 216.65 6716.88 0.108004
19309.3 216.65 6404.52 0.102981
19614.5 216.65 6105.16 0.0981677
19921.2 216.65 5818.33 0.0935557
20229.6 216.65 5543.59 0.0891379
20423.9 216.88 5280.59 0.0848192
20618.5 217.074 5121.48 0.0821899
20815.1 217.269 4967.06 0.0796403
21011.5 217.465 4815.98 0.0771481
21209.8 217.661 4669.71 0.0747375
21407.5 217.86 4526.66 0.0723821
21604.6 218.058 4388.53 0.0701097
21803.6 218.255 4255.16 0.0679177
22002.1 218.454 4124.74 0.065776
22202.6 218.652 3998.67 0.0637078
22403.3 218.853 3875.42 0.0616875
22605.9 219.053 3755.96 0.0597313
22808.9 219.256 3639.21 0.0578211
23013.8 219.459 3525.95 0.0559697
23219.3 219.664 3415.28 0.0541625
23426.7 219.869 3307.93 0.052411
23634.2 220.077 3203.09 0.0507021
23843.7 220.284 3101.59 0.0490492
24053 220.494 3002.49 0.0474369
24261.9 220.703 2906.7 0.0458799
24472.7 220.912 2814.27 0.044379
24683 221.123 2724.05 0.0429153
24895.2 221.333 2637.01 0.0415046
25107.2 221.545 2552.07 0.0401292
25321.4 221.757 2470.03 0.038802
25535.6 221.971 2389.91 0.0375072
25751.9 222.186 2312.45 0.0362565
25968.4 222.402 2236.83 0.0350368
26187 222.618 2163.71 0.0338586
26405.6 222.837 2092.36 0.03271
26624 223.056 2023.43 0.0316013
26844.5 223.274 1956.9 0.0305325
27064.4 223.495 1892 0.0294907
27286.4 223.714 1829.5 0.0284885
27507.5 223.936 1768.54 0.027512
27730.7 224.157 1709.92 0.0265738
27953 224.381 1652.75 0.0256597
28177.4 224.603 1597.79 0.0247819
28401 224.827 1544.2 0.0239268
28626.8 225.051 1492.63 0.0231048
28852.1 225.277 1442.36 0.0223043
29077.1 225.502 1393.95 0.0215341
29304.3 225.727 1347.25 0.020792
29531.3 225.954 1301.74 0.0200693
29760.5 226.181 1257.83 0.019373
29989.5 226.411 1215.05 0.0186951
30220.7 226.64 1173.81 0.0180423
30451.4 226.871 1133.63 0.017407
30681.8 227.101 1094.94 0.0167958
30914.4 227.332 1057.66 0.0162076
31146.8 227.564 1021.35 0.0156351
31381.5 227.797 986.344 0.0150838
31616.4 228.032 952.251 0.0145475
31853.6 228.266 919.338 0.0140302
32091.2 228.504 887.295 0.0135271
32329.5 228.905 856.346 0.0130324
32570.2 229.573 826.464 0.0125411
32811.4 230.246 797.437 0.0120652
33055 230.922 769.437 0.0116075
33299.1 231.604 742.245 0.0111643
33543.7 232.288 716.028 0.0107383
33790.5 232.972 690.772 0.0103291
34037.7 233.663 666.249 0.0099329
34287.1 234.355 642.641 0.00955264
34536.8 235.054 619.721 0.00918457
34786.5 235.753 597.673 0.00883154
35038.6 236.452 576.463 0.00849295
35290.7 237.158 555.874 0.00816523
35545.3 237.864 536.076 0.00785105
35799.8 238.577 516.86 0.00754701
36054.2 239.289 498.391 0.00725566
36311.1 240.002 480.636 0.00697642
36568.1 240.721 463.403 0.00670617
36827.5 241.441 446.834 0.00644713
37086.9 242.167 430.754 0.00619647
37346.3 242.893 415.298 0.00595628
37608.2 243.62 400.442 0.00572609
37870 244.353 386.024 0.00550335
38131.7 245.086 372.17 0.00528997
38395.9 245.819 358.858 0.00508555
38660 246.559 345.938 0.00488775
38924.2 247.298 333.526 0.00469828
39190.9 248.038 321.591 0.00451665
39458 248.785 310.007 0.00434089
39727.8 249.533 298.859 0.00417224
39998 250.288 288.041 0.00400908
40268.6 251.044 277.627 0.00385249
40541.9 251.802 267.602 0.00370221
40815.6 252.567 257.875 0.00355682
41089.3 253.334 248.519 0.00341741
41365.8 254.1 239.525 0.0032838
41642.2 254.874 230.798 0.00315455
41918.5 255.648 222.418 0.0030308
42197.6 256.422 214.366 0.00291227
42477 257.203 206.552 0.00279759
42757 257.986 199.04 0.00268767
43039.8 258.77 191.806 0.00258214
43323.5 259.562 184.787 0.00248005
43608.2 260.356 178.024 0.00238199
43895.7 261.153 171.507 0.0022878
44183.9 261.958 165.186 0.00219671
44472.8 262.765 159.101 0.00210929
44764.7 263.574 153.245 0.00202542
45057 264.391 147.565 0.00194432
45350 265.21 142.103 0.00186658
45646 266.03 136.849 0.00179201
45942.9 266.859 131.752 0.00171991
46240.9 267.69 126.846 0.00165072
46542 268.524 122.12 0.00158428
46844.4 269.368 117.536 0.00152005
47147.9 270.214 113.121 0.00145837
47452.3 270.65 108.868 0.00140128
47760 270.65 104.765 0.00134846
48068.4 270.65 100.774 0.00129709
48377.4 270.65 96.9257 0.00124756
48686.8 270.65 93.218 0.00119984
48999.6 270.65 89.6477 0.00115388
49312.9 270.65 86.1766 0.0011092
49626.7 270.65 82.8354 0.0010662
49941.1 270.65 79.6188 0.0010248
50256.1 270.65 76.5212 0.000984927
50574.7 270.65 73.5385 0.000946536
50894 270.65 70.6396 0.000909224
51213.9 270.65 67.8487 0.000873301
51534.4 270.65 0 0
51855.1 270.65 0 0
52176.5 270.65 0 0
52501.7 270.65 0 0
52827.9 270.65 0 0
53155.2 270.65 0 0
53483.7 270.65 0 0
53813.4 270.65 0 0
54144.4 270.65 0 0
54476.5 270.65 0 0
54809.7 270.65 0 0
55144 270.65 0 0
55479.6 270.65 0 0
55816.3 270.65 0 0
56154 270.65 0 0
56492.5 270.65 0 0
56832 270.65 0 0
57172.6 270.65 0 0
57514.4 270.65 0 0
57857.9 270.65 0 0
58203.4 270.65 0 0
58551.1 270.65 0 0
58901.1 270.65 0 0
59247.7 270.65 0 0
59591 270.65 0 0
59931.1 270.65 0 0
60268.2 270.65 0 0
60602.3 270.65 0 0
60933.4 270.65 0 0
61258 270.65 0 0
61578.9 270.65 0 0
61896.1 270.65 0 0
62209.3 270.65 0 0
62518.6 270.65 0 0
62824.2 270.65 0 0
63126.4 270.65 0 0
63425.5 270.65 0 0
63722 270.65 0 0
64015.8 270.65 0 0
64306.9 270.65 0 0
64595.3 270.65 0 0
64880.9 270.65 0 0
65164 270.65 0 0
65444.9 270.65 0 0
65723.6 270.65 0 0
