temp    pres    rho
288.15 101325 1.22498
288.077 101318 1.22521
287.859 101299 1.2259
287.496 101266 1.22705
286.993 101221 1.22865
286.355 101163 1.23069
285.594 101094 1.23313
284.72 101015 1.23594
283.747 100927 1.23909
282.688 100830 1.24255
281.631 100733 1.24602
280.648 100643 1.24926
279.727 100559 1.25232
278.857 100479 1.25523
278.03 100402 1.258
277.241 100329 1.26067
276.484 100259 1.26324
275.754 100191 1.26572
275.049 100126 1.26814
274.364 100062 1.27049
273.697 99999.6 1.27279
273.047 99938.7 1.27505
272.41 99879 1.27727
271.786 99820.4 1.27945
271.172 99762.7 1.2816
270.569 99705.9 1.28373
269.974 99649.7 1.28583
269.386 99594.1 1.28792
268.805 99539.1 1.28999
268.229 99484.6 1.29205
267.659 99430.4 1.2941
267.093 99376.6 1.29614
266.532 99323.1 1.29817
265.973 99269.8 1.3002
265.418 99216.7 1.30222
264.866 99163.8 1.30424
264.315 99111.1 1.30626
263.767 99058.4 1.30828
263.22 99005.8 1.3103
262.675 98953.3 1.31233
262.131 98900.9 1.31435
261.588 98848.4 1.31638
261.046 98795.9 1.31842
260.505 98743.5 1.32045
259.964 98691 1.3225
259.423 98638.4 1.32455
258.883 98585.9 1.3266
258.344 98533.2 1.32866
257.804 98480.5 1.33073
257.264 98427.7 1.33281
256.725 98374.9 1.33489
256.185 98321.9 1.33699
255.646 98268.9 1.33908
255.106 98215.8 1.34119
254.566 98162.6 1.34331
254.026 98109.2 1.34543
253.486 98055.8 1.34756
252.946 98002.4 1.3497
252.406 97948.8 1.35185
251.866 97895.1 1.35401
251.326 97841.3 1.35617
250.786 97787.4 1.35835
250.245 97733.5 1.36053
249.705 97679.5 1.36272
249.165 97625.4 1.36492
248.625 97571.2 1.36712
248.085 97516.9 1.36934
247.545 97462.6 1.37156
247.006 97408.2 1.37379
246.466 97353.7 1.37602
245.928 97299.2 1.37826
245.389 97244.7 1.38051
244.851 97190.1 1.38277
244.314 97135.5 1.38503
243.777 97080.8 1.3873
243.241 97026.1 1.38958
242.705 96971.4 1.39186
242.171 96916.7 1.39414
241.637 96862 1.39643
241.104 96807.3 1.39873
240.572 96752.6 1.40103
240.041 96697.9 1.40334
239.512 96643.3 1.40564
238.983 96588.7 1.40796
238.456 96534.1 1.41027
237.93 96479.6 1.41259
237.406 96425.2 1.41491
236.883 96370.8 1.41723
236.362 96316.5 1.41956
235.843 96262.3 1.42188
235.325 96208.2 1.42421
234.809 96154.2 1.42654
234.296 96100.4 1.42886
233.784 96046.6 1.43119
233.275 95993 1.43351
232.768 95939.6 1.43584
232.263 95886.3 1.43816
231.761 95833.2 1.44048
231.261 95780.3 1.44279
230.764 95727.6 1.4451
230.27 95675.1 1.44741
229.778 95622.8 1.44971
229.29 95570.8 1.45201
228.805 95518.9 1.4543
228.322 95467.4 1.45659
227.843 95416.1 1.45887
227.368 95365.1 1.46114
226.896 95314.4 1.4634
226.428 95264 1.46565
225.963 95214 1.46789
225.502 95164.3 1.47012
225.045 95114.9 1.47234
224.592 95065.9 1.47455
224.144 95017.3 1.47675
223.7 94969 1.47893
223.26 94921.2 1.4811
222.824 94873.8 1.48325
222.394 94826.9 1.48538
221.968 94780.4 1.4875
221.547 94734.4 1.48961
221.132 94688.9 1.49169
220.721 94643.9 1.49375
220.317 94599.5 1.49579
219.917 94555.6 1.49781
219.523 94512.2 1.49981
219.135 94469.3 1.50179
218.751 94427 1.50375
218.374 94385.3 1.50569
218.002 94344.2 1.5076
217.637 94303.7 1.50948
217.278 94263.9 1.51133
216.926 94224.8 1.51316
216.65 22594.1 0.363301
216.65 22393.7 0.360079
216.65 22168 0.35645
216.65 21919.1 0.352448
216.65 21649.3 0.348108
216.65 21360.7 0.343468
216.65 21055.6 0.338562
216.65 20736 0.333424
216.65 20404 0.328085
216.65 20061.4 0.322576
216.65 19710 0.316927
216.65 19351.6 0.311164
216.65 18987.6 0.30531
216.65 18619.3 0.299388
216.65 18247.9 0.293417
216.65 17874.6 0.287414
216.65 17500.2 0.281395
216.65 17125.7 0.275372
216.65 16751.7 0.269358
216.65 16378.8 0.263363
216.65 16007.7 0.257395
216.65 15638.7 0.251463
216.65 15272.4 0.245572
216.65 14909 0.239729
216.65 14548.9 0.233938
216.65 14192.3 0.228204
216.65 13839.4 0.22253
216.65 13490.4 0.216918
216.65 13145.5 0.211372
216.65 12804.7 0.205893
216.65 12468.3 0.200483
216.65 12136.2 0.195143
216.65 11808.6 0.189875
216.65 11485.4 0.184679
216.65 11166.8 0.179556
216.65 10852.8 0.174507
216.65 10543.3 0.169531
216.65 10238.5 0.164629
216.65 9938.26 0.159802
216.65 9642.64 0.155049
216.65 9351.64 0.150369
216.65 9065.26 0.145765
216.65 8783.5 0.141234
216.65 8506.35 0.136778
216.65 8233.83 0.132396
216.65 7965.91 0.128088
216.65 7702.6 0.123854
216.65 7443.91 0.119694
216.65 7189.85 0.115609
216.65 6940.44 0.111599
216.65 6695.65 0.107662
216.65 6455.49 0.103801
216.65 6219.98 0.100014
216.65 5989.11 0.0963017
216.65 5762.88 0.0926641
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
216.65 5541.28 0.0891009
