temp    pres    rho
288.15 101325 1.22498
287.77 101291 1.22618
286.632 101188 1.2298
284.777 101020 1.23576
282.32 100796 1.24375
279.422 100531 1.25334
276.247 100237 1.26404
272.922 99927 1.27548
269.531 99607.9 1.28741
266.118 99283.6 1.29967
262.706 98956.3 1.31221
259.302 98626.6 1.32501
255.909 98294.8 1.33806
253.272 98034.6 1.34841
251.585 97867.1 1.35514
250.206 97729.6 1.36069
248.998 97608.7 1.3656
247.899 97498.2 1.3701
246.871 97394.6 1.37434
245.892 97295.6 1.37841
244.948 97199.9 1.38236
244.028 97106.4 1.38624
243.126 97014.4 1.39007
242.236 96923.4 1.39386
241.355 96833.1 1.39765
240.48 96743.1 1.40143
239.609 96653.3 1.40522
238.74 96563.6 1.40902
237.874 96473.8 1.41284
237.008 96383.8 1.41668
236.143 96293.6 1.42054
235.276 96203.1 1.42443
234.406 96112 1.42836
233.534 96020.3 1.43233
232.661 95928.3 1.43633
231.785 95835.8 1.44036
230.909 95743 1.44443
230.031 95649.7 1.44853
229.153 95556.1 1.45266
228.273 95462.1 1.45682
227.393 95367.8 1.46102
226.511 95273.1 1.46525
225.629 95178 1.46951
224.747 95082.6 1.4738
223.863 94986.8 1.47813
222.979 94890.6 1.48249
222.094 94794.1 1.48688
221.208 94697.3 1.49131
220.322 94600 1.49577
219.435 94502.4 1.50026
218.547 94404.5 1.5048
217.659 94306.2 1.50936
216.77 94207.5 1.51397
216.65 22213.6 0.357184
216.65 21697.6 0.348886
216.65 21115.9 0.339532
216.65 20481.6 0.329333
216.65 19807.5 0.318493
216.65 19104.8 0.307195
216.65 18383.4 0.295595
216.65 17651.4 0.283826
216.65 16915.7 0.271996
216.65 16179.6 0.26016
216.65 15446 0.248364
216.65 14719.4 0.23668
216.65 14003.2 0.225164
216.65 13299.9 0.213855
216.65 12611.4 0.202784
216.65 11939.1 0.191975
216.65 11284.1 0.181442
216.65 10647.1 0.1712
216.65 10028.7 0.161257
216.65 9429.33 0.151619
216.65 8849.23 0.142291
216.65 8288.66 0.133277
216.65 7747.73 0.124579
216.65 7226.55 0.116199
216.65 6725.2 0.108138
216.65 6243.7 0.100395
216.65 5782.02 0.0929718
216.807 5340.77 0.0858144
217.503 4787.17 0.0766733
218.408 4154.03 0.066257
219.537 3483.18 0.0552712
220.904 2817.35 0.044429
222.538 2190.47 0.0342897
224.479 1628.21 0.0252677
226.8 1145.63 0.0175967
231.31 753.774 0.0113521
240.859 460.122 0.00665488
252.661 256.679 0.00353901
